Name,Type,Breed,Outcome Type,Days in Shelter
POPPY,DOG,CHIHUAHUA SH,ADOPTION,43
,DOG,GERM SHEPHERD,TRANSFER,7
JASPER,DOG,MALTESE/MIX,RETURN TO OWNER,0
*ELI,DOG,NORFOLK TERRIER/MIX,TRANSFER,22
BAILEY,DOG,PARSON RUSS TER/DACHSHUND,ADOPTION,14
TANK,DOG,PIT BULL/MIX,RETURN TO OWNER,0
,DOG,GREAT PYRENEES,RETURN TO OWNER,10
LOLA,DOG,PIT BULL/MIX,RETURN TO OWNER,1
LUCKY,DOG,PIT BULL/MIX,RETURN TO OWNER,4
SCOOTER,DOG,LABRADOR RETR,RETURN TO OWNER,0
*JACOB,DOG,LABRADOR RETR/MIX,EUTHANIZE,12
,DOG,POODLE TOY/MALTESE,TRANSFER,20
RAIDER,DOG,PIT BULL,RETURN TO OWNER,1
LOKI,CAT,DOMESTIC MH,ADOPTION,48
*MAUDE,CAT,DOMESTIC SH,ADOPTION,62
,DOG,PIT BULL,EUTHANIZE,27
,CAT,DOMESTIC SH,EUTHANIZE,0
GORDO,DOG,ROTTWEILER/MIX,RETURN TO OWNER,1
MOOSIE,DOG,LABRADOR RETR,RETURN TO OWNER,0
SOFIA,DOG,POODLE MIN,RETURN TO OWNER,2
,CAT,DOMESTIC SH,EUTHANIZE,7
WHITNEY,DOG,AKITA/LABRADOR RETR,ADOPTION,31
MAGIC STAR,CAT,DOMESTIC SH,ADOPTION,10
*BRITNEY,OTHER,RABBIT SH,TRANSFER,41
,CAT,DOMESTIC SH,RETURN TO OWNER,4
,DOG,GERM SHEPHERD,EUTHANIZE,13
*TIMMY,CAT,SIAMESE/MIX,ADOPTION,6
LACEY,DOG,PARSON RUSS TER,RETURN TO OWNER,1
*BESSIE,DOG,PIT BULL,TRANSFER,61
*ANNABELLE,DOG,SIBERIAN HUSKY/MIX,ADOPTION,47
LOLA,DOG,LABRADOR RETR,ADOPTION,14
*WILLEM,CAT,SIAMESE,EUTHANIZE,9
*CLYDE,DOG,POMERANIAN/ITAL GREYHOUND,ADOPTION,12
*THEODORE,DOG,PIT BULL,TRANSFER,18
*CLEO,DOG,PARSON RUSS TER/BOXER,ADOPTION,23
MURPHY,DOG,BULL TERRIER,RETURN TO OWNER,0
*JENNY,CAT,DOMESTIC SH,ADOPTION,33
STARBURST,DOG,PARSON RUSS TER,RETURN TO OWNER,0
,OTHER,SHEEP,ADOPTION,0
,CAT,DOMESTIC SH,EUTHANIZE,0
,CAT,DOMESTIC SH,EUTHANIZE,24
CHISPITA,DOG,CHIHUAHUA SH,RETURN TO OWNER,8
*NORTON,CAT,DOMESTIC SH,ADOPTION,87
JOSEPH,DOG,PARSON RUSS TER,RETURN TO OWNER,3
NEALA,DOG,LABRADOR RETR,RETURN TO OWNER,7
ATLAS,DOG,PIT BULL,ADOPTION,51
MOLLY,DOG,PIT BULL/MIX,RETURN TO OWNER,1
*HOBBS,CAT,DOMESTIC SH,ADOPTION,12
*PHOEBE,CAT,DOMESTIC SH,TRANSFER,37
SAM,DOG,LABRADOR RETR,RETURN TO OWNER,2
,OTHER,LOP-ENGLISH,TRANSFER,8
TURBO,DOG,PIT BULL,RETURN TO OWNER,0
,OTHER,RABBIT SH,TRANSFER,0
LILY,DOG,GREAT PYRENEES/ANATOL SHEPHERD,RETURN TO OWNER,0
,DOG,FLAT COAT RETR/MIX,TRANSFER,22
,CAT,DOMESTIC LH,RETURN TO OWNER,6
BEAUREGARD,DOG,GREAT PYRENEES/CATAHOULA,ADOPTION,11
,CAT,DOMESTIC SH,TRANSFER,3
CAPUYO,DOG,SIBERIAN HUSKY/MIX,RETURN TO OWNER,0
JERSEY,DOG,POMERANIAN,RETURN TO OWNER,1
,CAT,DOMESTIC MH,TRANSFER,7
CHICO,DOG,BEAGLE/CHIHUAHUA SH,ADOPTION,207
,CAT,DOMESTIC SH,TRANSFER,15
HERCULES,DOG,SIBERIAN HUSKY,RETURN TO OWNER,1
,OTHER,CHICKEN,TRANSFER,24
AWESOME,DOG,PIT BULL,RETURN TO OWNER,17
JUNIPER,CAT,DOMESTIC SH,RETURN TO OWNER,0
*BILLY,CAT,DOMESTIC SH,ADOPTION,38
LIA,CAT,DOMESTIC SH,ADOPTION,49
KIRA,DOG,SHETLD SHEEPDOG/MIX,ADOPTION,89
*BARB,CAT,DOMESTIC SH,ADOPTION,10
LEON,DOG,POMERANIAN,RETURN TO OWNER,7
,CAT,DOMESTIC SH,TRANSFER,76
OLAF,OTHER,RABBIT SH,ADOPTION,5
MOLLY,DOG,LABRADOR RETR/BORDER COLLIE,RETURN TO OWNER,0
*DIVA,CAT,BURMESE,ADOPTION,33
*FALKOR,DOG,PARSON RUSS TER/MIX,TRANSFER,35
SPIKE,DOG,SIBERIAN HUSKY/GERM SHEPHERD,RETURN TO OWNER,1
*GATITO,CAT,DOMESTIC SH,ADOPTION,17
NALA,DOG,PIT BULL,ADOPTION,58
YOGI,DOG,BICHON FRISE/POODLE MIN,EUTHANIZE,11
BEAR,DOG,ROTTWEILER/MIX,TRANSFER,33
*RICKY,OTHER,HOTOT,TRANSFER,43
PENELOPE,DOG,CHIHUAHUA SH,EUTHANIZE,8
LINUS,CAT,DOMESTIC SH,RETURN TO OWNER,4
*SIMON,CAT,DOMESTIC SH,ADOPTION,5
GUS,CAT,DOMESTIC SH,RETURN TO OWNER,4
*CLOVER,CAT,DOMESTIC SH,ADOPTION,64
YODA,CAT,DOMESTIC LH,RETURN TO OWNER,2
FIONA,DOG,AUST CATTLE DOG,RETURN TO OWNER,0
,DOG,BORDER COLLIE/MIX,TRANSFER,17
,CAT,DOMESTIC SH,TRANSFER,25
MARCIE,DOG,LABRADOR RETR/MALTESE,ADOPTION,11
,OTHER,AMERICAN SABLE/MIX,TRANSFER,23
ARROW,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,0
,CAT,DOMESTIC SH,EUTHANIZE,1
*SKY,CAT,SIAMESE,ADOPTION,36
HAZY,DOG,AUST CATTLE DOG/MIX,RETURN TO OWNER,1
,OTHER,TROPICAL,ADOPTION,6
*RONALD,CAT,DOMESTIC SH,ADOPTION,9
,CAT,DOMESTIC SH,EUTHANIZE,14
BAMBI,DOG,SHIH TZU,EUTHANIZE,8
PAMAGO,DOG,PIT BULL,EUTHANIZE,26
*HALEY,CAT,DOMESTIC SH,ADOPTION,17
CUPID,DOG,SHIH TZU/MIX,ADOPTION,31
JAZZI,DOG,CHIHUAHUA LH,ADOPTION,24
LOLA,DOG,LABRADOR RETR,RETURN TO OWNER,0
HONEY,DOG,CHIHUAHUA SH,ADOPTION,16
HUCK,DOG,GREAT PYRENEES,RETURN TO OWNER,0
MIA,DOG,POINTER/LABRADOR RETR,RETURN TO OWNER,0
PANIC,DOG,PIT BULL,RETURN TO OWNER,10
JAC,DOG,SCHNAUZER MIN/POODLE MIN,RETURN TO OWNER,0
TRIXIE,DOG,LABRADOR RETR,RETURN TO OWNER,0
BUN,DOG,PIT BULL,ADOPTION,36
KONA,DOG,GERM SHEPHERD,ADOPTION,8
CHLOE,DOG,PUG/BEAGLE,RETURN TO OWNER,1
CHAKI,DOG,AMERICAN STAFF,RETURN TO OWNER,2
NIPSY,DOG,ALASK MALAMUTE,RETURN TO OWNER,1
ROXY,DOG,CHIHUAHUA SH,ADOPTION,29
*CLAUS,CAT,DOMESTIC SH,ADOPTION,23
BUSTER POSEY,CAT,DOMESTIC LH,ADOPTION,42
,CAT,DOMESTIC SH,EUTHANIZE,2
*MARGARET,DOG,GERM SHEPHERD/SIBERIAN HUSKY,ADOPTION,23
*POCHACCO,OTHER,RABBIT SH,ADOPTION,30
SUBARU,DOG,LABRADOR RETR/MIX,EUTHANIZE,11
*CATNIP,CAT,DOMESTIC SH,ADOPTION,59
BOWSER,DOG,GERM SHEPHERD,RETURN TO OWNER,4
,CAT,DOMESTIC LH,EUTHANIZE,0
ANNIE,CAT,DOMESTIC SH,RETURN TO OWNER,0
ENRIQUE,DOG,CHIHUAHUA SH,ADOPTION,12
,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,0
,DOG,GERM SHEPHERD,RETURN TO OWNER,1
KOBE,DOG,PIT BULL,ADOPTION,10
,DOG,CHIHUAHUA SH/MIX,EUTHANIZE,10
,OTHER,RABBIT SH,EUTHANIZE,0
,DOG,CHIHUAHUA SH,TRANSFER,21
,CAT,DOMESTIC LH,EUTHANIZE,0
KIA,DOG,POMERANIAN/PAPILLON,RETURN TO OWNER,2
POINT,DOG,PARSON RUSS TER,RETURN TO OWNER,1
LITTLE BEAR,DOG,CHIHUAHUA LH,RETURN TO OWNER,5
*DIXIE CHICK,OTHER,CHICKEN,ADOPTION,16
DOMINO,DOG,ALASKAN HUSKY,ADOPTION,18
*HARPER,DOG,PIT BULL/MIX,ADOPTION,39
LINDA,DOG,GERM SHEPHERD,ADOPTION,7
AUGGIE,DOG,CAIRN TERRIER/MIX,ADOPTION,28
SAPPHIRE,DOG,PIT BULL,RETURN TO OWNER,4
*HERMIONE,OTHER,RABBIT SH,TRANSFER,26
JUPITER,CAT,DOMESTIC SH,ADOPTION,15
*LILY,DOG,RHOD RIDGEBACK/LABRADOR RETR,ADOPTION,1
*CINDY,CAT,DOMESTIC MH,TRANSFER,31
BARNABAS,DOG,MASTIFF,RETURN TO OWNER,6
TYCO,DOG,PARSON RUSS TER,RETURN TO OWNER,1
TULIP,OTHER,DUTCH,TRANSFER,2
JJ,DOG,BEARDED COLLIE/MIX,RETURN TO OWNER,1
COOPER,DOG,LABRADOR RETR,RETURN TO OWNER,5
*APOLLO,DOG,PIT BULL,ADOPTION,48
STANLEY,DOG,LABRADOR RETR,RETURN TO OWNER,0
*MS MIN PIN,DOG,MIN PINSCHER,TRANSFER,15
BRUISER,DOG,PIT BULL/MIX,RETURN TO OWNER,9
BUDDY,DOG,BEAGLE,RETURN TO OWNER,1
MILO,CAT,DOMESTIC MH,ADOPTION,10
*GALE,CAT,DOMESTIC SH,ADOPTION,5
TAARNA,DOG,SIBERIAN HUSKY,ADOPTION,14
SHASTA,CAT,DOMESTIC SH,ADOPTION,64
JASPER,DOG,PIT BULL,RETURN TO OWNER,5
NEKO,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,10
*PETUNIA,CAT,DOMESTIC SH,ADOPTION,34
,CAT,DOMESTIC SH,RETURN TO OWNER,9
,DOG,LHASA APSO,EUTHANIZE,10
*SOCKS,DOG,AUST CATTLE DOG/MIX,ADOPTION,27
CHAPO,DOG,PIT BULL/MIX,RETURN TO OWNER,0
*CANDY,DOG,PIT BULL/MIX,TRANSFER,45
*LUKE,CAT,DOMESTIC SH,ADOPTION,14
*RUSTY,DOG,CHIHUAHUA SH,TRANSFER,15
LUCY,DOG,PIT BULL,RETURN TO OWNER,3
,OTHER,GUINEA PIG,TRANSFER,4
,CAT,DOMESTIC SH,RETURN TO OWNER,2
JAXSON,DOG,DOGUE DE BORDX,TRANSFER,32
*PIXIE,DOG,PARSON RUSS TER/MIX,ADOPTION,10
ROSIE,DOG,CHIHUAHUA SH,ADOPTION,58
PEBBLES,DOG,SHIH TZU/PARSON RUSS TER,RETURN TO OWNER,1
COOKIE,DOG,CHIHUAHUA SH,TRANSFER,19
CHLOE,DOG,PIT BULL,ADOPTION,17
,OTHER,CHICKEN,EUTHANIZE,0
MINNIE MOUSE,CAT,DOMESTIC SH,ADOPTION,49
BLUE,DOG,DACHSHUND,RETURN TO OWNER,1
BOND (JAMES),CAT,DOMESTIC LH,ADOPTION,13
KAT,DOG,AUST CATTLE DOG/MIX,ADOPTION,2
,OTHER,FERRET,EUTHANIZE,0
*TIMMY,CAT,DOMESTIC SH,ADOPTION,31
*MR. DARCY,OTHER,RABBIT SH,ADOPTION,27
SAMMY,DOG,PARSON RUSS TER,RETURN TO OWNER,1
BECKETT,DOG,GOLDEN RETR,RETURN TO OWNER,0
LAYLA,CAT,DOMESTIC SH,RETURN TO OWNER,2
JOJO,DOG,CHIHUAHUA SH,RETURN TO OWNER,11
FU MANCHU,CAT,DOMESTIC SH,ADOPTION,75
PIXIE,DOG,TR WALKER HOUND,RETURN TO OWNER,2
BANDIT,CAT,DOMESTIC SH,ADOPTION,69
PEACHES,DOG,PIT BULL/MIX,EUTHANIZE,34
*JOEY,CAT,DOMESTIC MH,ADOPTION,11
SAFIYA,DOG,SHIH TZU/MIX,RETURN TO OWNER,1
GOOFY,DOG,CHIHUAHUA LH/MIX,RETURN TO OWNER,0
*HAWK,CAT,DOMESTIC MH,ADOPTION,17
KOOL,CAT,DOMESTIC SH,ADOPTION,24
,CAT,DOMESTIC SH,TRANSFER,0
PALOMA,DOG,WEST HIGHLAND/CHIHUAHUA SH,RETURN TO OWNER,1
*GRUMPY,CAT,DOMESTIC SH,ADOPTION,17
*BILL,DOG,ROTTWEILER/MIX,ADOPTION,139
,CAT,DOMESTIC SH,RETURN TO OWNER,8
LUCY,CAT,SIAMESE,ADOPTION,3
*PEPPER,DOG,CHIHUAHUA SH/DACHSHUND,ADOPTION,47
IVY,DOG,CHIHUAHUA SH/MIX,ADOPTION,24
,OTHER,BAT,EUTHANIZE,0
CAT 1,CAT,DOMESTIC LH,TRANSFER,1
,CAT,DOMESTIC SH,RETURN TO OWNER,4
HARLEY,CAT,DOMESTIC SH,RETURN TO OWNER,1
,CAT,DOMESTIC LH,RETURN TO OWNER,4
PEBBLES,DOG,CHIHUAHUA LH/MIX,RETURN TO OWNER,1
DIXIE,DOG,LABRADOR RETR,RETURN TO OWNER,0
*ARLET,CAT,DOMESTIC SH,ADOPTION,8
MOLLY,DOG,PUG,RETURN TO OWNER,0
RIDER,DOG,BASSET HOUND/DACHSHUND,RETURN TO OWNER,1
RYDER,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,0
*LUCY,OTHER,GUINEA PIG,TRANSFER,22
,DOG,SIBERIAN HUSKY,TRANSFER,23
,DOG,CHIHUAHUA SH,TRANSFER,29
,CAT,DOMESTIC LH,EUTHANIZE,1
ROW,CAT,DOMESTIC SH,ADOPTION,15
GRIZZLY,DOG,PIT BULL,EUTHANIZE,9
BANDIT,DOG,BASSET HOUND,RETURN TO OWNER,0
,CAT,DOMESTIC SH,TRANSFER,5
,DOG,SIBERIAN HUSKY,EUTHANIZE,18
*PERRAULT,CAT,SIAMESE/MIX,ADOPTION,17
BATMAN,DOG,CHIHUAHUA SH,ADOPTION,39
RUBY,DOG,BORDER COLLIE,TRANSFER,2
PEPPER,CAT,DOMESTIC SH,ADOPTION,137
ELLA,CAT,DOMESTIC SH,RETURN TO OWNER,1
SUGAR,DOG,AMER FOXHOUND,RETURN TO OWNER,2
BEAR,DOG,SIBERIAN HUSKY,RETURN TO OWNER,5
PIZO,DOG,PIT BULL,RETURN TO OWNER,2
LULU,CAT,DOMESTIC SH,EUTHANIZE,2
TO BE,DOG,BORDER COLLIE,RETURN TO OWNER,1
MOCA,DOG,GERM SHEPHERD,ADOPTION,54
*AVERY,OTHER,RABBIT SH,TRANSFER,21
BAILEY,DOG,SIBERIAN HUSKY,RETURN TO OWNER,0
LEO,DOG,POODLE TOY,RETURN TO OWNER,19
,CAT,DOMESTIC SH,RETURN TO OWNER,6
RIVER,DOG,AUST SHEPHERD/GOLDEN RETR,ADOPTION,15
,CAT,SIAMESE/MIX,RETURN TO OWNER,20
ROSIE,DOG,PIT BULL,ADOPTION,151
,OTHER,GOOSE,RETURN TO OWNER,6
JELLY,CAT,DOMESTIC SH,ADOPTION,86
,OTHER,RABBIT SH,TRANSFER,7
MAXIMUS,DOG,LABRADOR RETR,RETURN TO OWNER,1
,OTHER,CHICKEN,EUTHANIZE,120
MOPOCHA,DOG,GERM SHEPHERD,RETURN TO OWNER,4
BUBBA,DOG,BULLMASTIFF,ADOPTION,53
MAX,CAT,DOMESTIC SH,ADOPTION,20
DAISY,DOG,PARSON RUSS TER/MIX,RETURN TO OWNER,1
OLLIE,CAT,DOMESTIC MH,ADOPTION,53
SASSY,CAT,SNOWSHOE,ADOPTION,5
,CAT,DOMESTIC SH,TRANSFER,12
,CAT,DOMESTIC SH,RETURN TO OWNER,5
*CARTER,DOG,CHIHUAHUA SH,ADOPTION,21
DELILAH,DOG,PIT BULL,TRANSFER,36
MINI,CAT,DOMESTIC SH,EUTHANIZE,7
DUKE,DOG,LABRADOR RETR,RETURN TO OWNER,0
TANGO,DOG,COLLIE ROUGH/MIX,ADOPTION,18
ROWDY,DOG,RHOD RIDGEBACK/ROTTWEILER,RETURN TO OWNER,0
KIARA,DOG,PIT BULL,EUTHANIZE,13
*LAYLA,DOG,PIT BULL,ADOPTION,18
*SARAH,CAT,DOMESTIC SH,DISPOSAL,7
BELLA,DOG,LABRADOR RETR,RETURN TO OWNER,1
,CAT,DOMESTIC SH,RETURN TO OWNER,8
*JEN,CAT,DOMESTIC SH,ADOPTION,6
AUGGIE,CAT,DOMESTIC MH,ADOPTION,10
KAHUNA,CAT,DOMESTIC SH,EUTHANIZE,0
*LILY,DOG,RHOD RIDGEBACK/LABRADOR RETR,ADOPTION,28
*ANNIE,DOG,BORDER COLLIE/MIX,ADOPTION,22
*RANGER,DOG,CHIHUAHUA SH/MIX,ADOPTION,22
REX,DOG,AUST CATTLE DOG/MIX,ADOPTION,120
,CAT,DOMESTIC SH,EUTHANIZE,0
SHASTA,DOG,BORDER COLLIE/MIX,RETURN TO OWNER,0
DAISY,DOG,CHIHUAHUA SH,RETURN TO OWNER,21
HONEY,DOG,CHIHUAHUA SH/MIX,ADOPTION,14
*TRENT,DOG,CHIHUAHUA SH,ADOPTION,23
JOHN,CAT,SIAMESE,ADOPTION,23
,DOG,BRUSS GRIFFON/MIX,RETURN TO OWNER,1
BELLA,DOG,BORDER COLLIE,RETURN TO OWNER,0
HARLOW,DOG,GREAT PYRENEES/CATAHOULA,RETURN TO OWNER,0
BON-BON,DOG,POODLE MIN/MIX,RETURN TO OWNER,1
,CAT,DOMESTIC LH,TRANSFER,45
*THOR,CAT,DOMESTIC LH,ADOPTION,33
MINNIE,DOG,CHIHUAHUA SH,ADOPTION,31
ZOE,CAT,DOMESTIC LH,RETURN TO OWNER,2
SAL,DOG,PARSON RUSS TER,RETURN TO OWNER,5
STEELE,DOG,SIBERIAN HUSKY,RETURN TO OWNER,0
*JOHNNY,CAT,DOMESTIC SH,ADOPTION,43
FLYNN,DOG,BORDER COLLIE,RETURN TO OWNER,10
,DOG,PIT BULL,RETURN TO OWNER,1
,DOG,POODLE MIN/MIX,EUTHANIZE,1
LADY,DOG,BOXER/MIX,RETURN TO OWNER,1
,CAT,DOMESTIC SH,TRANSFER,5
*MISSY,DOG,CHIHUAHUA SH,ADOPTION,12
COWBOY,DOG,PIT BULL,RETURN TO OWNER,9
*BARNEY,DOG,CHIHUAHUA SH,ADOPTION,24
BELLA,CAT,DOMESTIC SH,RETURN TO OWNER,4
*SUSAN,CAT,DOMESTIC SH,ADOPTION,8
,CAT,DOMESTIC MH,DISPOSAL,0
SOPHIA,DOG,MALTESE/SHIH TZU,RETURN TO OWNER,0
BETTY,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,0
BEAR DOG,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,1
CHAPO,DOG,SHIH TZU/MIX,RETURN TO OWNER,2
,OTHER,SHEEP,TRANSFER,14
*NOODLE,DOG,LABRADOR RETR/DOBERMAN PINSCH,ADOPTION,44
RONNIE,DOG,LABRADOR RETR/FLAT COAT RETR,ADOPTION,11
LEE,DOG,AMER BULLDOG/MIX,RETURN TO OWNER,0
BUDKISS,DOG,CATAHOULA/LABRADOR RETR,RETURN TO OWNER,0
,DOG,SHIH TZU/MIX,TRANSFER,21
*KELLIE,DOG,ROTTWEILER,EUTHANIZE,44
PAPPAS,DOG,POODLE MIN/MIX,RETURN TO OWNER,11
ROCKY,DOG,PARSON RUSS TER/MIX,RETURN TO OWNER,3
,DOG,AUST CATTLE DOG,TRANSFER,8
*ROO,DOG,LABRADOR RETR/SIBERIAN HUSKY,RETURN TO OWNER,2
VASILLIO,CAT,DOMESTIC SH,RETURN TO OWNER,7
DUKE,DOG,PIT BULL,RETURN TO OWNER,1
PULGAS,DOG,CHIHUAHUA SH,ADOPTION,23
PALOMA,DOG,GERM SHEPHERD,RETURN TO OWNER,0
,OTHER,RABBIT SH,TRANSFER,7
,DOG,CHIHUAHUA SH,DIED,27
,OTHER,DUCK/CAYUGA,TRANSFER,4
*COLBY JACK,CAT,DOMESTIC SH,ADOPTION,7
,CAT,DOMESTIC SH,TRANSFER,7
TOBY GOLIYATH,CAT,DOMESTIC MH,ADOPTION,8
,OTHER,CHICKEN,EUTHANIZE,2
TYSON,DOG,AUST CATTLE DOG,RETURN TO OWNER,0
LUCKY,DOG,LABRADOR RETR,RETURN TO OWNER,2
SKIZZ,DOG,SIBERIAN HUSKY/MIX,RETURN TO OWNER,2
KATANA,DOG,PIT BULL,EUTHANIZE,28
ZORA,DOG,GERM SHEPHERD/MIX,ADOPTION,22
AMY,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,0
ECHO,DOG,BEAGLE/MIX,TRANSFER,29
*RICKY,OTHER,RABBIT SH,ADOPTION,44
KATE,DOG,GERM SHEPHERD,TRANSFER,17
BISMARK,CAT,DOMESTIC SH,ADOPTION,24
QUATRO,DOG,PIT BULL,RETURN TO OWNER,1
MIA,DOG,GERM SHEPHERD,RETURN TO OWNER,2
CHOPPER,DOG,PARSON RUSS TER/CHIHUAHUA SH,RETURN TO OWNER,0
CHIQUITA,DOG,PIT BULL,RETURN TO OWNER,0
BELLA,DOG,CHIHUAHUA SH/PARSON RUSS TER,RETURN TO OWNER,1
PACO,DOG,PIT BULL/MIX,RETURN TO OWNER,1
MONKEY,CAT,DOMESTIC SH,TRANSFER,68
BLANCHIE,DOG,PIT BULL,RETURN TO OWNER,4
*DEBBIE,DOG,CHIHUAHUA SH/MIX,TRANSFER,18
,CAT,DOMESTIC SH,RETURN TO OWNER,3
GINGER,DOG,AUST CATTLE DOG/MIX,ADOPTION,15
CHOCOLATE,DOG,CHIHUAHUA SH,RETURN TO OWNER,1
*RONNIE,DOG,CHIHUAHUA SH/DACHSHUND,EUTHANIZE,85
*HAROLD,DOG,CHIHUAHUA SH,ADOPTION,24
*JEWEL,DOG,BORDER COLLIE/MIX,TRANSFER,72
MAC,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,0
AUGGIE,DOG,CAIRN TERRIER/MIX,ADOPTION,11
,OTHER,BAT,EUTHANIZE,1
ZOOEY,DOG,CATAHOULA,RETURN TO OWNER,11
,CAT,DOMESTIC SH,TRANSFER,10
SAMSON,DOG,CHIHUAHUA SH,RETURN TO OWNER,22
RAIDER,DOG,LABRADOR RETR,RETURN TO OWNER,1
*SUGAR,CAT,DOMESTIC SH,ADOPTION,21
PETREE,OTHER,PALOMINO/MIX,ADOPTION,28
TOBY,DOG,CHIHUAHUA SH/MIN PINSCHER,ADOPTION,26
LACEY,CAT,DOMESTIC SH,ADOPTION,21
SHERRY,CAT,DOMESTIC SH,ADOPTION,36
MRS BIGGLESWORTH,CAT,DOMESTIC MH,ADOPTION,23
TIGRESS,CAT,DOMESTIC SH,ADOPTION,32
,CAT,DOMESTIC SH,RETURN TO OWNER,4
*OSCAR,CAT,DOMESTIC SH,ADOPTION,3
,CAT,DOMESTIC SH,RETURN TO OWNER,8
,CAT,DOMESTIC SH,TRANSFER,10
CASSIE,CAT,DOMESTIC SH,ADOPTION,31
ROMEO,DOG,PIT BULL/MIX,EUTHANIZE,7
FRENCHIE,CAT,DOMESTIC SH,ADOPTION,9
ROUDIE,DOG,PIT BULL,RETURN TO OWNER,7
*COSTELLO,CAT,DOMESTIC SH,ADOPTION,14
GOTTI,DOG,PIT BULL,RETURN TO OWNER,15
SAGE,DOG,LABRADOR RETR,RETURN TO OWNER,5
,CAT,DOMESTIC SH,EUTHANIZE,9
MEOWY,CAT,DOMESTIC SH,EUTHANIZE,41
BERTIE REY,DOG,GERM SHEPHERD/MIX,ADOPTION,21
ACE,DOG,PIT BULL,RETURN TO OWNER,9
SPIRIT,DOG,LABRADOR RETR,RETURN TO OWNER,1
MAISY,DOG,PARSON RUSS TER/MIX,ADOPTION,13
LOLA,DOG,ROTTWEILER/GERM SHEPHERD,RETURN TO OWNER,2
PEACHES,DOG,RAT TERRIER/MIX,RETURN TO OWNER,5
,DOG,GERM SHEPHERD/MIX,EUTHANIZE,8
,CAT,DOMESTIC SH,RETURN TO OWNER,7
BOO,CAT,DOMESTIC MH,ADOPTION,158
,OTHER,BAT,EUTHANIZE,0
YOGI,DOG,PIT BULL,RETURN TO OWNER,0
,OTHER,CHICKEN,EUTHANIZE,0
,DOG,CHIHUAHUA SH/MIX,TRANSFER,21
ZEKE,DOG,LABRADOR RETR,RETURN TO OWNER,0
,CAT,DOMESTIC MH,EUTHANIZE,17
NIKI,DOG,RAT TERRIER,EUTHANIZE,54
PRINCESS,DOG,POODLE MIN/MIX,EUTHANIZE,33
*ROSCOE,CAT,DOMESTIC SH,ADOPTION,41
OLIVE,DOG,PIT BULL/MIX,RETURN TO OWNER,1
TUFFY/SCOOCH,DOG,BORDER COLLIE/MIX,RETURN TO OWNER,1
SCOTTIE,DOG,BORDER COLLIE/MIX,EUTHANIZE,13
NEMO,DOG,SIBERIAN HUSKY,RETURN TO OWNER,6
APPLEJACK,CAT,DOMESTIC SH,RETURN TO OWNER,0
LEO,DOG,POODLE TOY,RETURN TO OWNER,4
*CUPCAKE,CAT,DOMESTIC SH,ADOPTION,46
COWBOY,DOG,BORDER COLLIE,RETURN TO OWNER,0
,OTHER,CHICKEN,EUTHANIZE,0
ROCKY,DOG,PUG,RETURN TO OWNER,7
BEAR,DOG,PIT BULL/MIX,RETURN TO OWNER,0
MISHKA,CAT,DOMESTIC LH,ADOPTION,35
GRACIE,DOG,CHIHUAHUA SH,ADOPTION,15
JESSI,DOG,CHIHUAHUA SH,RETURN TO OWNER,4
*BARNEY,CAT,DOMESTIC SH,ADOPTION,6
CHIQUITA,DOG,CHIHUAHUA SH,ADOPTION,8
DAWN TU,DOG,QUEENSLAND HEEL,RETURN TO OWNER,3
VIDA,DOG,GREAT PYRENEES,RETURN TO OWNER,0
ROCKY,DOG,SIBERIAN HUSKY,RETURN TO OWNER,1
*CAROL,CAT,DOMESTIC SH,ADOPTION,32
HERSHEY,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,0
*MANFRED,DOG,MASTIFF,TRANSFER,13
FLOWER,CAT,DOMESTIC SH,RETURN TO OWNER,0
JOJO,DOG,CHIHUAHUA SH,ADOPTION,22
SPARK,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,1
,DOG,SIBERIAN HUSKY,EUTHANIZE,29
*SKITTLES,DOG,PARSON RUSS TER,ADOPTION,35
GIZMO,DOG,DACHSHUND/AUST CATTLE DOG,ADOPTION,10
INDIA,DOG,PIT BULL,RETURN TO OWNER,3
*CREAMSICLE,OTHER,RABBIT SH,ADOPTION,39
TINKERBELL,CAT,DOMESTIC SH,TRANSFER,10
*ZOOEY,CAT,DOMESTIC SH,ADOPTION,13
RUBY,DOG,CHIHUAHUA SH/PARSON RUSS TER,RETURN TO OWNER,0
,OTHER,RABBIT SH,DIED,23
MARSHMALLOW,CAT,DOMESTIC SH,EUTHANIZE,1
HUNTER,DOG,PIT BULL/MIX,ADOPTION,125
FAYE,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,8
,OTHER,KOI,TRANSFER,5
KITTY,CAT,DOMESTIC LH,RETURN TO OWNER,2
GHOTTI,DOG,PIT BULL/ROTTWEILER,EUTHANIZE,7
*KING WUZZY,CAT,DOMESTIC MH,ADOPTION,17
CAT 1,CAT,DOMESTIC SH,RETURN TO OWNER,0
